subword,length
10,不伴腹腔开放性伤口的
10,不伴有腹腔开放性伤口
10,不伴发腹腔开放性伤口
9,颈总动脉间主动脉弓
9,颅骨穹窿闭合骨折伴
9,闭合性脊柱半脱位伴
9,闭合性创伤性半脱位
9,金黄色葡萄球菌感染
9,部分切除术经腹腔镜
9,部分切除伴自体血管
9,遗传性非球形红细胞
9,通过胎盘乳汁转运的
9,近节指骨开放性骨折
9,输血综合征所致胎儿
9,视网膜中央静脉阻塞
9,装置植入物或移植物
9,血管环伴右主动脉弓
9,葡萄胎和或异位妊娠
9,药物药剂或生物制品
9,药物洗脱支架置入术
9,自体血管旁路移植术
9,膝关节闭合性创伤性
9,膝关节开放性创伤性
9,脓毒性血栓性静脉炎
9,脊柱闭合性半脱位伴
9,脊柱开放性半脱位伴
9,胎儿或新生儿特异性
9,胎儿室上性心动过速
9,肺静脉连接异常汇入
9,肺静脉异常连接汇入
9,肺静脉异位连接汇入
9,肺静脉异位引流汇入
9,肠病毒性水疱性口炎
9,肠沙门菌亚种肠球菌
9,肠沙门氏菌肠道亚种
9,肋骨结节非关节部分
9,肋肋结节非关节部分
9,肋结节关节部分结构
9,维生素缺乏性佝偻病
9,继发性限制性心肌病
9,继发性扩张型心肌病
9,结节性多发性动脉炎
9,经胸腔镜辅助小切口
9,组织皮肤和皮下组织
9,精神活性物质诱发的
9,神经阻断外周神经丛
9,神经刺激脉冲发生器
9,皮肤和皮下组织结构
9,的体肺循环侧支动脉
9,病损切除术经腹腔镜
9,病损切除术经胸腔镜
9,甲状腺素结合球蛋白
9,甲状旁腺功能减退症
9,甲状旁腺功能亢进症
9,生物学行为不明肿瘤
9,环境下意图不确定的
9,特定的精神活性物质
9,淋巴结根治性切除术
9,毒性弥漫性甲状腺肿
9,椭圆形红细胞增多症
9,未知是道路交通事故
9,有关的问题未特指的
9,早产儿视网膜病变期
9,无腹腔开放性伤口的
9,无毒昆虫咬伤伴感染
9,新生儿高胆红素血症
9,新生儿孤立性持久性
9,新生儿大肠埃希氏菌
9,故意自害的危险因素
9,放射性粒子植入术碘
9,扩张性心肌病继发于
9,手术器械材料或装置
9,所致马杜拉分枝菌病
9,所致精神病性障碍伴
9,慢性硬化性非化脓性
9,慢性深静脉血栓形成
9,性腺功能减退综合征
9,急性淋巴细胞白血病
9,影响的胎儿或新生儿
9,影响母体治疗的胎儿
9,影响孕妇治疗的胎儿
9,异常起源于主动脉窦
9,开放性脊柱半脱位伴
9,开放性创伤性膝关节
9,开放性创伤性半脱位
9,开放性伤口的碎片伤
9,开放式创伤性半脱位
9,常染色体隐性遗传性
9,常染色体显性遗传的
9,常染色体显性遗传性
9,局部切除术或破坏术
9,小肠结肠炎耶尔森菌
9,导致的高胰岛素血症
9,导致的扩张型心肌病
9,对胎儿新生儿的影响
9,安装外固定装置架具
9,多处肌肉和肌腱损伤
9,外伤性水疱并发感染
9,外伤性水疱合并感染
9,外伤性水疱伴发感染
9,型曼彻斯特生化亚型
9,坏死组织切除清创术
9,嗜中性粒细胞减少症
9,双相Ⅱ型障碍目前为
9,双极Ⅰ障碍最近发作
9,升主动脉壁夹层形成
9,动脉韧带异常起源于
9,动脉导管异常起源于
9,功能重建伴肌移位术
9,切开复位内外固定术
9,分枝杆菌引起的感染
9,分枝杆菌引发的感染
9,分枝杆菌导致的感染
9,凝固酶阴性葡萄球菌
9,冠状动脉异常走行于
9,其他或未特指部位的
9,位于髋或大腿水平的
9,人工血管旁路移植术
9,人免疫缺陷病毒感染
9,产伤性上运动神经元
9,为主要特征的综合征
9,中枢性睡眠呼吸暂停
9,中受害者的运输方式
9,专用车辆上的使用者
9,与损伤或伤害有关的
9,不合并开放性创口的
9,不伴抑制剂的中间型
8,齿槽嵴开放性外伤
8,麻痹性脊髓灰质炎
8,鳞状细胞恶性肿瘤
8,骨髓内针内固定术
8,骨折闭合性复位术
8,骨折开放性复位术
8,食管后主动脉憩室
8,颈椎椎间盘纤维环
8,颅底闭合性骨折伴
8,非对抗性疗法病损
8,非二尖瓣非三尖瓣
8,青霉菌引起的感染
8,青霉菌引发的感染
8,青霉菌导致的感染
8,障碍伴精神病特征
8,间隔室的胎儿液体
8,闭塞性细支气管炎
8,闭合性骨折半脱位
8,闭合性脊柱骨折伴
8,闭合性脊柱脱位伴
8,闭合性创伤性脱位
8,镇静催眠或抗焦虑
8,铁路运输损伤事件
8,铁粒幼细胞性贫血
8,金黄色葡萄球菌性
8,重症联合免疫缺陷
8,部皮肤和皮下组织
8,部皮肤及皮下组织
8,部分切除伴置换术
8,部分切除伴吻合术
8,道路外非交通事故
8,通过胎盘或乳汁的
8,通过胎盘和或母乳
8,近端指骨间关节囊
8,运动或锻炼活动的
8,输血综合征致胎儿
8,输卵管卵巢切除术
8,视网膜脱离修补术
8,表皮生长因子受体
8,行为不确定的肿瘤
8,血小板减少性紫癜
8,荚膜组织胞浆菌病
8,良性原发性高血压
8,致甲状腺功能减退
8,腹腔开放性创伤的
8,腹腔开放性伤口的
8,腹股沟斜疝修补术
8,腰椎椎间盘纤维环
8,腕或手水平的其他
8,腕或手其他部位的
8,脊椎骨骺发育不良
8,脊柱开放性骨折伴
8,脊柱开放性脱位伴
8,脉络膜新生血管膜
8,胸骨肋软骨关节面
8,胸椎椎间盘纤维环
8,胎儿脊膜脊髓膨出
8,胎儿或新生儿黄疸
8,胎儿或新生儿感染
8,背侧表面皮下组织
8,胆红素中毒性脑病
8,胃十二指肠吻合术
8,肾功能损害引起的
8,肾上腺皮质增生症
8,肩胛骨锁骨和胸廓
8,肢带型肌营养不良
8,肋骨结节非关节面
8,肋骨结节非关节部
8,肋骨结节关节部分
8,肋肋结节非关节面
8,肋肋结节非关节部
8,肋肋结节关节部分
8,肋结节非关节部分
8,而与保健机构接触
8,继发扩张性心肌病
8,继发扩张型心肌病
8,继发性骨质疏松症
8,给予的孕产妇医疗
8,绒毛结节性滑膜炎
8,经尿道膀胱镜膀胱
8,紧张型精神分裂症
8,粒单核细胞白血病
8,第五指间皮下组织
8,穿刺伤不伴有异物
8,神经节苷脂沉积症
8,磨损和或摩擦烧伤
8,睡眠觉醒节律障碍
8,相关性肺动脉高压
8,的肌肉筋膜或肌腱
8,的皮肤和皮下组织
8,的皮肤及皮下组织
8,的原发性恶性肿瘤
8,的其他诊断性操作
8,的免疫接种的需要
8,病损切除术经鼻镜
8,畸形的功能单心室
8,甲状腺功能减退症
8,甲状腺功能亢进症
8,甲状旁腺机能减退
8,甲状旁腺机能亢进
8,甲状旁腺功能减退
8,甲状旁腺功能低下
8,甲状旁腺功能亢进
8,用移植物或假体的
8,生长刺激器的置入
8,生殖道或盆腔感染
8,环境下的故意自害
8,犯罪者受害人关系
8,牙槽突开放性外伤
8,注意缺陷多动障碍
8,沙眼衣原体引起的
8,水路运输损伤事件
8,水平的创伤性切断
8,气管支气管淋巴结
8,段之间的胸回旋肌
8,椎间盘纤维软骨环
8,梗阻的食管裂孔疝
8,梗阻的胆囊管结石
8,标本细菌涂片检查
8,标本的显微镜检查
8,杓状会厌襞咽下面
8,未受损报废或损毁
8,曲霉菌引起的感染
8,曲霉菌引发的感染
8,曲霉菌导致的感染
8,早产儿视网膜病期
8,早产儿视网膜病变
8,无丙种球蛋白血症
8,新生儿同种免疫性
8,放射性粒子植入术
8,撕裂并发伤口污染
8,撕裂合并伤口污染
8,撕裂伴有伤口污染
8,撕裂伴发伤口污染
8,损伤或伤害的方式
8,持续性过敏性哮喘
8,所致精神病性障碍
8,房室间隔缺损合并
8,慢性阻塞性肺疾病
8,慢性痛风石性痛风
8,慢性化脓性中耳炎
8,恶性肿瘤未特指的
8,恶性周围神经鞘瘤
8,急性段抬高型心梗
8,急性心肌梗死后的
8,心内膜心肌纤维化
8,引起的过敏性鼻炎
8,引起的肺动脉高压
8,引起的精神障碍伴
8,引起的溶血性贫血
8,引起的梗阻性分娩
8,异物的不切开去除
8,异常起源于肺动脉
8,开放性骨折清创术
8,开放性骨折半脱位
8,开放性脊柱骨折伴
8,开放性脊柱脱位伴
8,开放性创伤性脱位
8,开放式创伤性脱位
8,广场恐怖性回避和
8,幼年特发性关节炎
8,常染色体隐性遗传
8,常染色体显性遗传
8,左心室流出道梗阻
8,左冠状动脉回旋支
8,左冠状动脉前降支
8,小肠结肠炎耶尔森
8,导致的支气管肺炎
8,对呼吸的意外威胁
8,完全性或未特指的
8,妊娠分娩或产褥期
8,妊娠分娩和产褥期
8,女性生殖道分泌液
8,女性乳房外下象限
8,女性乳房外上象限
8,女性乳房内下象限
8,女性乳房内上象限
8,女性乳房中央部分
8,女性乳房下内象限
8,大的开放性伤口但
8,大疱性表皮松解症
8,多发性开放性骨折
8,外固定装置去除术
8,外侧表面皮下组织
8,外伤性水疱已感染
8,外伤性水疱伴感染
8,墨西哥利什曼原虫
8,基底样鳞状细胞癌
8,坏死性小肠结肠炎
8,在武装冲突中使用
8,嗜中性粒细胞减少
8,含铁血黄素沉积症
8,含铁血黄素沉着症
8,含激光冷冻电灼等
8,同种免疫性新生儿
8,右心室流出道梗阻
8,变应性接触性皮炎
8,双相情感障碍目前
8,双相型障碍目前为
8,原发性鳞状细胞癌
8,单纯疱疹病毒感染
8,区不确定行为肿瘤
8,动脉损伤未特指的
8,功能障碍未特指的
8,功能性单心室相关
8,刺激性接触性皮炎
8,切除术用作移植物
8,切开复位内固定术
8,切取术用做移植物
8,分枝杆菌所致感染
8,分支杆菌所致感染
8,冠状动脉粥样硬化
8,冠状动脉旁路移植
8,内固定装置去除术
8,内侧表面皮下组织
8,其他特指的遗传性
8,其他特指的获得性
8,其他特指的继发性
8,其他特指的新生儿
8,其他特指的先天性
8,兴奋剂包括苯丙胺
8,先天性肌营养不良
8,先天性心室双入口
8,偏执型精神分裂症
8,促肾上腺皮质激素
8,促结缔组织增生性
8,依赖早期完全缓解
8,位于踝或足水平的
8,位于腕或手水平的
8,代谢紊乱未特指的
8,人类免疫缺陷病毒
8,乳头状鳞状细胞癌
8,主动脉瓣关闭不全
8,中毒性休克综合征
8,中性粒细胞减少症
8,中性白细胞减少症
8,不可归类在他处者
8,不伴精神病性症状
8,不伴抑制剂的重型
8,不伴开放性创口的
7,黄褐色小孢子菌
7,高血压性心脏病
7,高苯丙氨酸血症
7,髓内针内固定术
7,髋或大腿水平的
7,骨骨折闭合复位
7,骨骨折切开复位
7,骨折闭合复位术
7,骨折手法整复术
7,骨折切开复位术
7,风湿性肺动脉瓣
7,颈椎椎间盘髓核
7,颈椎椎间盘间隙
7,颈椎开放性骨折
7,韧带开放式分裂
7,革兰氏阴性杆菌
7,革兰氏阳性球菌
7,革兰氏阳性杆菌
7,非霍奇金淋巴瘤
7,非化脓性乳腺炎
7,障碍伴广场恐怖
7,间关节侧副韧带
7,问号钩端螺旋体
7,闭合骨折半脱位
7,闭合性骨折脱位
7,闭合性经皮针吸
7,闭合创伤性脱位
7,锁骨下动脉远端
7,链球菌性败血症
7,链球菌性脓毒症
7,铁锈色小孢子菌
7,金黄色葡萄球菌
7,重度持续性哮喘
7,重叠性恶性肿瘤
7,酰基转移酶缺乏
7,造成的胎盆不称
7,通过胎盘或乳汁
7,通过胎盘乳汁的
7,远距离放射治疗
7,远端趾间关节囊
7,远端指间关节囊
7,近端指骨间关节
7,轻度肝脏撕裂伤
7,轻度持续性哮喘
7,软骨钙质沉着症
7,软骨钙质沉着病
7,转移性恶性肿瘤
7,车辆上的使用者
7,踝关节和或足部
7,诊断或监测装置
7,诊断性影像检查
7,视网膜营养不良
7,视网膜色素变性
7,视网膜色素上皮
7,视网膜分支静脉
7,视网膜中央静脉
7,覆膜支架置入术
7,表面异物不伴有
7,表浅损伤伴感染
7,血管腔内成形术
7,血管内压力测量
7,血栓性浅静脉炎
7,蛛网膜下隙出血
7,蛛网膜下腔出血
7,营养不良综合征
7,获得性免疫缺陷
7,荨麻疹性血管炎
7,色素性视网膜炎
7,自动心脏复律器
7,自体血管搭桥术
7,腹部下背或骨盆
7,腹膜浆膜下组织
7,腹腔镜下输尿管
7,腹腔镜下输卵管
7,腹腔开放性创伤
7,腹腔开放性伤的
7,腹腔开放性伤口
7,腰椎椎间盘髓核
7,腰椎椎间盘间隙
7,脱细胞异体真皮
7,脱位闭合复位术
7,脱位劳损或扭伤
7,脓肿切开引流术
7,脑白质营养不良
7,脊髓后角胶状质
7,脊柱裂伴脑积水
7,脊柱开放性脱位
7,脉络膜视网膜炎
7,脉络膜新生血管
7,脂环酸芽孢杆菌
7,胸椎骨下关节突
7,胸椎骨上关节突
7,胸椎间盘纤维环
7,胸椎椎间盘髓核
7,胸椎椎间盘间隙
7,胸椎椎间盘水平
7,胎儿动脉导管提
7,胎儿产前异常伴
7,背侧面皮下组织
7,肾小管性酸中毒
7,肺静脉连接异常
7,肺静脉畸形引流
7,肺静脉异常连接
7,肺静脉异位连接
7,肺静脉异位引流
7,肺动脉瓣下狭窄
7,肥大细胞增多症
7,肝脏轻度撕裂伤
7,肝脏星状撕裂伤
7,肌肉筋膜或肌腱
7,肌肉和肌腱损伤
7,肋骨结节关节面
7,肋骨结节关节部
7,肋肋结节关节面
7,肋肋结节关节部
7,肋结节非关节面
7,肋结节非关节部
7,肋结节关节部分
7,综合征未特指的
7,维生素缺乏病伴
7,继发性骨质疏松
7,继发性恶性肿瘤
7,绦虫引起的疾病
7,绦虫引起的感染
7,绦虫导致的疾病
7,绦虫导致的感染
7,结节性甲状腺肿
7,结节性多动脉炎
7,结膜炎或泪囊炎
7,结膜炎和泪囊炎
7,经尿道输尿管镜
7,细支气管肺泡癌
7,组织补片修补术
7,组织胞浆菌感染
7,组织细胞增多症
7,线虫引起的疾病
7,线虫引起的感染
7,线虫导致的疾病
7,线虫导致的感染
7,线头影测量中的
7,纤维组织细胞瘤
7,系统性红斑狼疮
7,精囊的恶性肿瘤
7,类风湿性关节炎
7,筋膜间室综合征
7,第指间皮下组织
7,穿刺活组织检查
7,穿刺伤伴有异物
7,神经内分泌肿瘤
7,睾丸间质细胞瘤
7,皮肤和皮下组织
7,皮肤及皮下组织
7,的暂时性关节病
7,的方式故意自害
7,的损伤未特指的
7,的体肺侧支动脉
7,病毒性乙型肝炎
7,病毒引起的疾病
7,病毒引起的感染
7,病毒导致的疾病
7,病毒导致的感染
7,病损激光烧灼术
7,病损激光切除术
7,病损射频消融术
7,疝无张力修补术
7,甲状腺毒性危象
7,甲状腺机能减退
7,甲状腺机能亢进
7,甲状腺功能减退
7,甲状腺功能亢进
7,甲基转移酶缺乏
7,用移植物或假体
7,生物瓣膜置换术
7,生物学行为未定
7,生物学行为不定
7,球囊血管成形术
7,球囊扩张成形术
7,环境下进行加害
7,狭窄伴关闭不全
7,状态伴急性恶化
7,特发性脊柱侧凸
7,特发性网状青斑
7,牙釉质发育不全
7,牙本质发育不良
7,牙本质发育不全
7,滑膜骨软骨瘤病
7,深静脉血栓栓塞
7,深静脉血栓形成
7,淋巴细胞白血病
7,浅表损伤伴感染
7,浅表伤并发感染
7,浅表伤合并感染
7,浅表伤伴发感染
7,流行性腮腺炎性
7,泪囊炎或结膜炎
7,泪囊炎和结膜炎
7,泌尿生殖道感染
7,沙门氏杆菌变种
7,沙眼衣原体感染
7,氨基转移酶缺乏
7,气管开放性伤口
7,毛细血管扩张症
7,椎体开放骨折伴
7,植入物或移植物
7,梗阻的胆管结石
7,栓塞和血栓形成
7,标本细胞块涂片
7,标本的临床所见
7,标本毒理学检查
7,标本显微镜检查
7,标本寄生虫检查
7,机械瓣膜置换术
7,未知的行为肿瘤
7,未知原发部位的
7,有害性使用模式
7,有关的影响照护
7,智力障碍综合征
7,早产儿视网膜病
7,无毒昆虫叮咬后
7,无名指远节指骨
7,新生儿葡萄球菌
7,新生儿皮下脂肪
7,新生儿淋病奈瑟
7,新生儿播散性李
7,新生儿大肠艾希
7,新生儿大肠埃希
7,新生儿外阴阴道
7,整个颞下颌关节
7,整个阴茎海绵体
7,整个胸廓内动脉
7,整个第十二胸椎
7,整个左冠状动脉
7,整个大脑前动脉
7,整个右冠状动脉
7,整个前列腺右半
7,整个乳房内动脉
7,整个主动脉瓣膜
7,擦伤挫伤伴感染
7,撕裂伴伤口污染
7,指远端指间关节
7,指近端指间关节
7,折返性心动过速
7,所致的胎盆不称
7,所致的胎儿损害
7,所致的胎儿损伤
7,房室瓣非二尖瓣
7,或相关药物包括
7,或其有害效应下
7,慢性深静脉血栓
7,感染性心内膜炎
7,恶性肿瘤个人史
7,性高胆红素血症
7,性腺功能减退症
7,性疾病未特指的
7,性室性心动过速
7,急性黄色肝萎缩
7,急性髓系白血病
7,急性髓样白血病
7,急性深静脉血栓
7,急性心肌梗死后
7,心脏复律除颤器
7,心室双入口合并
7,心内膜弹力纤维
7,形红细胞增多症
7,弥漫性甲状腺肿
7,引起的食物中毒
7,引起的胎盆不称
7,引起的肠道感染
7,引起的皮肤感染
7,开放性骨折脱位
7,开放性骨折伴发
7,广场恐怖性回避
7,并发过敏性鼻炎
7,并发症的鼻中隔
7,并发急性胆囊炎
7,巨细胞病毒感染
7,左颈总动脉与右
7,左肺下叶支气管
7,左肺上叶支气管
7,左束支传导阻滞
7,左侧输卵管卵巢
7,局限性骨关节病
7,小管间质性肾炎
7,小孢子菌引起的
7,小孢子菌引发的
7,小孢子菌导致的
7,导致的胎盆不称
7,导致的皮肤感染
7,导管内乳头状瘤
7,对胎儿或新生儿
7,完全性颈髓损伤
7,完全性腰髓损伤
7,完全性胸髓损伤
7,安装外固定装置
7,子宫左侧输卵管
7,子宫内膜异位症
7,妊娠期和产褥期
7,女性乳房中心区
7,大隐静脉架桥术
7,大肠杆菌血清型
7,大疱性表皮松解
7,大开放性伤口但
7,多发性内分泌腺
7,多发性内分泌瘤
7,外部原因引起的
7,外胚层发育不良
7,外固定架固定术
7,外固定架去除术
7,外侧面皮肤结构
7,外侧面皮下组织
7,型肌营养不良症
7,型糖尿病引起的
7,型皮肤利什曼病
7,垂体功能减退症
7,垂体全部切除术
7,围生期或新生儿
7,困难或需要帮助
7,囊肿袋形缝合术
7,器质性精神障碍
7,器械材料或装置
7,喉气管支气管炎
7,呼吸道合胞病毒
7,呼吸窘迫综合征
7,呼吸器官和胸腔
7,吸虫引起的疾病
7,吸虫引起的感染
7,吸虫导致的疾病
7,吸虫导致的感染
7,含激光冷冻电灼
7,同种免疫反应性
7,合并急性胆囊炎
7,右肺中叶支气管
7,右肺下叶支气管
7,右肺上叶支气管
7,右束支传导阻滞
7,右室流出道梗阻
7,右侧输卵管卵巢
7,受损报废或损毁
7,发育不良综合征
7,发育不全综合征
7,发现胎内或宫内
7,双极情感Ⅰ障碍
7,原发性肿瘤恶性
7,原发性恶性肿瘤
7,单纯躁狂性发作
7,单次有害性使用
7,单核细胞白血病
7,十二指肠吻合术
7,区皮下组织结构
7,动静脉血管畸形
7,动静脉瘘修补术
7,动脉腔内栓塞术
7,动脉粥样硬化致
7,动脉粥样硬化性
7,加害的背景关于
7,功能障碍综合征
7,副交感神经纤维
7,剥脱性骨软骨炎
7,前纤维肌肉基质
7,刺激脉冲发生器
7,切除术经腹腔镜
7,切除术或破坏术
7,切开活组织检查
7,切开异物取出术
7,切开异物去除术
7,切开复位内固定
7,切取用做移植物
7,分裂情感性障碍
7,分离性神经症状
7,分枝杆菌性感染
7,凝血因子缺乏症
7,冠状动脉搭桥术
7,再生障碍性贫血
7,内镜下十二指肠
7,内固定物取出术
7,内侧面皮下组织
7,其他诊断性操作
7,其他病损切除术
7,其他特指部位的
7,其他特指类型的
7,其他特指的皮肤
7,其他特指的涉及
7,其他特指的慢性
7,其他特指的急性
7,其他特指入路的
7,其他方面未特指
7,其他或未特指的
7,其他和未特指的
7,关节病理性脱位
7,先天性肺动脉瓣
7,先天性形状异常
7,先天性发育不良
7,先天性发育不全
7,先天性动静脉瘘
7,先天性冠状动脉
7,先天性主动脉瓣
7,先天性下腔静脉
7,充血性心力衰竭
7,儿童乳糖不耐症
7,修正术含置换术
7,依法处置的类型
7,体征或临床所见
7,位于小腿水平的
7,伴精神病性症状
7,伴精神病性特征
7,伴有急性胆囊炎
7,伴发过敏性鼻炎
7,伴发急性胆囊炎
7,伯克霍尔德氏菌
7,传染性心内膜炎
7,传染性单核细胞
7,企图流产失败伴
7,人造补片修补术
7,人工血管置换术
7,人工血管架桥术
7,人工血管搭桥术
7,产程或分娩并发
7,产科裂伤修补术
7,产生的一氧化碳
7,交感神经切除术
7,二尖瓣关闭不全
7,乙酰转移酶缺乏
7,乙型病毒性肝炎
7,之间的胸回旋肌
7,主动脉窦动脉瘤
7,主动脉瓣下狭窄
7,中毒性表皮坏死
7,中性粒细胞减少
7,中性白细胞减少
7,中度持续性哮喘
7,严重急性呼吸道
