subword,length
7,脱位劳损或扭伤
7,脓肿切开引流术
7,脑白质营养不良
7,脉络膜视网膜炎
7,脉络膜新生血管
7,胸椎椎间盘髓核
7,胸椎椎间盘间隙
7,背侧面皮下组织
7,肺静脉连接异常
7,肺静脉异常连接
7,肺静脉异位连接
7,肺静脉异位引流
7,肝脏轻度撕裂伤
7,肌肉筋膜或肌腱
7,肌肉和肌腱损伤
7,肋结节关节部分
7,综合征未特指的
7,继发性恶性肿瘤
7,结节性多动脉炎
7,结膜炎或泪囊炎
7,线虫引起的感染
7,线虫导致的感染
7,线头影测量中的
7,系统性红斑狼疮
7,类风湿性关节炎
7,穿刺活组织检查
7,神经内分泌肿瘤
7,皮肤和皮下组织
7,皮肤及皮下组织
7,的方式故意自害
7,病毒引起的疾病
7,病毒导致的疾病
7,病损激光烧灼术
7,病损射频消融术
7,疝无张力修补术
7,甲状腺机能减退
7,甲状腺功能减退
7,甲状腺功能亢进
7,生物学行为未定
7,生物学行为不定
7,球囊扩张成形术
7,牙本质发育不良
7,牙本质发育不全
7,深静脉血栓形成
7,淋巴细胞白血病
7,浅表损伤伴感染
7,泪囊炎或结膜炎
7,沙眼衣原体感染
7,毛细血管扩张症
7,植入物或移植物
7,梗阻的胆管结石
7,未知的行为肿瘤
7,有害性使用模式
7,智力障碍综合征
7,早产儿视网膜病
7,无毒昆虫叮咬后
7,新生儿葡萄球菌
7,新生儿淋病奈瑟
7,新生儿大肠艾希
7,新生儿大肠埃希
7,整个左冠状动脉
7,整个右冠状动脉
7,撕裂伴伤口污染
7,指远端指间关节
7,房室瓣非二尖瓣
7,或其有害效应下
7,感染性心内膜炎
7,性疾病未特指的
7,急性髓样白血病
7,弥漫性甲状腺肿
7,开放性骨折脱位
7,开放性骨折伴发
7,广场恐怖性回避
7,左肺下叶支气管
7,左肺上叶支气管
7,左侧输卵管卵巢
7,小孢子菌引起的
7,小孢子菌引发的
7,小孢子菌导致的
7,对胎儿或新生儿
7,子宫内膜异位症
7,大肠杆菌血清型
7,大疱性表皮松解
7,大开放性伤口但
7,外侧面皮下组织
7,器质性精神障碍
7,喉气管支气管炎
7,呼吸窘迫综合征
7,含激光冷冻电灼
7,右肺中叶支气管
7,右肺下叶支气管
7,右肺上叶支气管
7,右束支传导阻滞
7,受损报废或损毁
7,发育不良综合征
7,发育不全综合征
7,原发性恶性肿瘤
7,单核细胞白血病
7,区皮下组织结构
7,副交感神经纤维
7,刺激脉冲发生器
7,切除术经腹腔镜
7,切除术或破坏术
7,切开活组织检查
7,切开异物取出术
7,切开异物去除术
7,分裂情感性障碍
7,分离性神经症状
7,分枝杆菌性感染
7,凝血因子缺乏症
7,冠状动脉搭桥术
7,内固定物取出术
7,内侧面皮下组织
7,其他诊断性操作
7,其他特指部位的
7,其他特指的皮肤
7,其他特指的慢性
7,其他特指的急性
7,其他或未特指的
7,其他和未特指的
7,关节病理性脱位
7,先天性肺动脉瓣
7,先天性形状异常
7,先天性发育不良
7,先天性发育不全
7,先天性主动脉瓣
7,充血性心力衰竭
7,体征或临床所见
7,伴精神病性症状
7,传染性心内膜炎
7,传染性单核细胞
7,人工血管置换术
7,人工血管搭桥术
7,产科裂伤修补术
7,产生的一氧化碳
7,二尖瓣关闭不全
7,乙型病毒性肝炎
7,之间的胸回旋肌
7,主动脉窦动脉瘤
7,主动脉瓣下狭窄
7,中性粒细胞减少
7,中度持续性哮喘
7,丙种球蛋白血症
7,与保健机构接触
7,不确定行为肿瘤
7,不可归类在他处
7,下颌中切牙连线
6,高血压心脏病
6,高胰岛素血症
6,骨骺发育不良
6,骨折闭合复位
6,骨折未特指的
6,骨折切开复位
6,骨化中心结构
6,马杜拉放线菌
6,食管静脉曲张
6,风湿性二尖瓣
6,韧带完全撕裂
6,鞘氨醇单胞菌
6,非法终止妊娠
6,非二尖瓣形态
6,非三尖瓣形态
6,静脉血栓形成
6,静脉支流结构
6,静脉分支结构
6,青霉菌性感染
6,霍奇金淋巴瘤
6,障碍未特指的
6,限制性心肌病
6,闭合性骨折伴
6,闭合性复位术
6,闭合性创伤性
6,铜绿假单胞菌
6,钢针内固定术
6,钢板内固定术
6,重度抑郁发作
6,醛固酮增多症
6,部分切除术伴
6,通过胎盘和或
6,通过胎盘乳汁
6,远节指骨粗隆
6,远端趾间关节
6,远端指间关节
6,近端趾间关节
6,近端指间关节
6,运输相关事件
6,运输损伤事件
6,运输事件伤及
6,转移酶缺乏症
6,转移恶性肿瘤
6,起源于围生期
6,解剖结构改变
6,角膜营养不良
6,表面皮下组织
6,表面异物感染
6,表浅异物不伴
6,行为不确定的
6,血栓性静脉炎
6,血小板减少症
6,螺钉内固定术
6,虹膜睫状体炎
6,葡萄球菌感染
6,良恶性未确定
6,自主神经系统
6,腹腔镜下子宫
6,腹腔镜下卵巢
6,腹腔开放性伤
6,腕或手水平的
6,脱氢酶缺乏症
6,脑膜炎球菌性
6,脑炎病毒感染
6,脊髓脊膜膨出
6,脊髓性肌萎缩
6,脉络膜视网膜
6,胸椎间纤维环
6,胸椎全椎间孔
6,胸椎下关节突
6,胸椎上关节突
6,胎儿或新生儿
6,胎儿和新生儿
6,胎儿动脉导管
6,背面皮下组织
6,背侧皮下组织
6,肾小管酸中毒
6,肺动脉瓣狭窄
6,肱二头肌肌腱
6,肥厚性心肌病
6,肥厚型心肌病
6,股动脉腘动脉
6,肠系膜上静脉
6,肠系膜上动脉
6,肝脏星状裂伤
6,肝星状撕裂伤
6,肌营养不良症
6,肌肉骨骼组织
6,肌肉骨骼系统
6,肌肉恶性肿瘤
6,肋软骨关节面
6,肋结节关节部
6,联合免疫缺陷
6,耳鼻喉科制剂
6,缺血性脑卒中
6,维生素缺乏症
6,维生素缺乏伴
6,继发恶性肿瘤
6,继发性恶性瘤
6,结节性滑膜炎
6,结核分枝杆菌
6,结构发育异常
6,经皮冠状动脉
6,经尿道输尿管
6,终末细支气管
6,细菌涂片检查
6,细菌性关节炎
6,细胞组织细胞
6,组织胞浆菌病
6,线头影测量中
6,红细胞增多症
6,精神病性障碍
6,精神病性症状
6,精神病性特征
6,精神活性物质
6,粘多糖贮积症
6,第一跖趾关节
6,移植物或假体
6,神经纤维瘤病
6,睡眠呼吸暂停
6,眼皮肤白化病
6,相关性糖尿病
6,直肠乙状结肠
6,皮肤皮下组织
6,皮肤利什曼病
6,皮下组织结构
6,的症状或体征
6,的症状或主诉
6,的活组织检查
6,的成骨不全症
6,的开放性伤口
6,的劳损或扭伤
6,的创伤性切断
6,的其他切除术
6,的其他修补术
6,的不切开去除
6,白喉棒状杆菌
6,病毒性心肌炎
6,病损或组织的
6,病损切除术经
6,疾病未特指的
6,疾患未特指的
6,疝补片修补术
6,男性生殖器官
6,环状软骨后区
6,溶血性链球菌
6,淋巴结清扫术
6,淋巴结切除术
6,浸润性导管癌
6,浅表伤伴感染
6,流行性腮腺炎
6,流感嗜血杆菌
6,泌尿生殖系统
6,沙门氏杆菌属
6,沙门氏杆菌Ⅱ
6,水疱合并感染
6,毛细血管扩张
6,毛癣菌引起的
6,毛癣菌引发的
6,毛癣菌导致的
6,椎间韧带结构
6,椎间盘纤维环
6,梭状芽胞杆菌
6,梭状芽孢杆菌
6,根治性切除术
6,核磁共振检查
6,束支传导阻滞
6,杓状软骨间襞
6,机械性并发症
6,未知或未特定
6,未特指部位的
6,曲霉菌性感染
6,曲霉所致感染
6,暂时性关节病
6,无毒昆虫咬伤
6,无毒昆虫叮咬
6,无损伤或伤害
6,无张力修补术
6,旁路移植血管
6,新生儿马拉色
6,新生儿短暂性
6,新生儿暂时性
6,新生儿播散性
6,新生儿内分泌
6,新生儿先天性
6,新生儿一过性
6,整个迷走神经
6,整个肺动脉瓣
6,整个第脑神经
6,整个第七颈椎
6,整个外生殖器
6,整个十二指肠
6,整个主动脉瓣
6,擦伤并发感染
6,擦伤和或挫伤
6,擦伤合并感染
6,擦伤伴发感染
6,掌面皮下组织
6,损伤未特指的
6,挥发性吸入剂
6,指间皮下组织
6,括约肌切开术
6,拇指指间关节
6,抗生素耐药的
6,扩张性心肌病
6,扩张型心肌病
6,房性心动过速
6,房室间隔缺损
6,房室传导阻滞
6,或其有害效应
6,慢性胆囊炎的
6,感染性关节炎
6,意图不确定的
6,恶性黑色素瘤
6,恶性上皮肿瘤
6,性腺机能减退
6,性腺功能减退
6,性肌营养不良
6,急性段抬高型
6,急性支气管炎
6,急性心肌梗死
6,急性心肌梗塞
6,心室间隔缺损
6,心内膜垫缺损
6,弹簧圈栓塞术
6,引起的脑膜炎
6,引起的新生儿
6,异常未特指的
6,开放性骨折伴
6,开放性复位术
6,开放性创口的
6,开放性创伤性
6,开放性伤口的
6,建筑物或场地
6,并发伤口污染
6,常染色体隐性
6,常染色体显性
6,帕金森综合征
6,左锁骨下动脉
6,左输卵管卵巢
6,屈肌腱和腱鞘
6,导致的脑膜炎
6,导管内乳头状
6,对胎儿新生儿
6,家族性淀粉样
6,室性心动过速
6,子宫右输卵管
6,子宫内膜异位
6,女性生殖系统
6,女性生殖器官
6,头影测量中的
6,大肠埃希氏菌
6,大细胞淋巴瘤
6,多发性内分泌
6,外侧皮下组织
6,复杂性撕裂伤
6,复发性半脱位
6,基转移酶缺乏
6,型肌营养不良
6,型精神分裂症
6,在治疗中使用
6,在武装冲突中
6,嗜酸性粒细胞
6,和或异位妊娠
6,呼吸系统疾病
6,合法终止妊娠
6,合并伤口污染
6,右锁骨下动脉
6,右心室流出道
6,右位主动脉弓
6,反应性关节病
6,双相情感障碍
6,原发恶性肿瘤
6,原发性高血压
6,原发性恶性瘤
6,原位恶性肿瘤
6,单纯疱疹病毒
6,单纯性撕裂伤
6,十二指肠溃疡
6,区域皮下组织
6,化脓性关节炎
6,化脓性中耳炎
6,动脉粥样硬化
6,动脉瘤切除伴
6,动脉导管未闭
6,功能重建伴肌
6,功能性单心室
6,前列腺移行区
6,前列腺外周区
6,创伤性半脱位
6,创伤性关节病
6,分枝杆菌感染
6,分支杆菌感染
6,冠状动脉旁路
6,冠状动脉异常
6,冠状动脉开口
6,内针内固定术
6,内侧皮下组织
6,其他特指部位
6,其他特指的非
6,其他特指的与
6,先天性心脏病
6,先天性二尖瓣
6,先天性主动脉
6,先天性三尖瓣
6,假交替单胞菌
6,促肾上腺皮质
6,使用所致障碍
6,位于前臂水平
6,伸肌腱和腱鞘
6,伴有伤口污染
6,伴急性胆囊炎
6,伴发伤口污染
6,伴产后并发症
6,代谢性酸中毒
6,人类免疫缺陷
6,人工终止妊娠
6,人工心脏瓣膜
6,人工主动脉瓣
6,交感神经系统
6,主动脉肺动脉
6,主动脉瓣狭窄
6,为主要特征的
6,中毒性肝病伴
6,中枢神经系统
6,与损伤或伤害
6,不确定性肿瘤
6,不伴脊髓损伤
6,不伴抑制剂的
6,下颌中切牙线
6,下肢静脉曲张
6,下泌尿生殖道
6,上呼吸道感染
6,β地中海贫血
5,鼻咽外侧壁
5,鼻内窥镜下
5,黄色肝萎缩
5,鳞状细胞癌
5,高尿酸血症
5,高位结扎术
5,髓样白血病
5,骨骼肌结构
5,骨软骨瘤病
5,骨质疏松症
5,骨盆和大腿
5,骨折闭合性
5,骨折开放性
5,骨折半脱位
5,骨性关节炎
5,骨发育不良
5,食管裂孔疝
5,颞下颌关节
5,颈椎椎间盘
5,颈总动脉间
5,颈动脉狭窄
5,颅内静脉窦
5,颅侧关节突
5,革兰氏阴性
5,革兰氏阳性
5,面皮下组织
5,非交通事故
5,青霉菌感染
5,障碍性贫血
5,陆地非交通
5,附睾睾丸炎
5,阿片类物质
5,阿尔茨海默
5,阴茎海绵体
5,间质细胞瘤
5,间质性肺病
5,间皮下组织
5,闭合骨折伴
5,闭合性骨折
5,闭合性脱位
5,闭合性脊柱
5,闭合性损伤
5,闭合复位术
5,门静脉系统
5,锁骨下静脉
5,锁骨下动脉
5,链球菌感染
5,铁粒幼细胞
5,钩端螺旋体
5,钉内固定术
5,针内固定术
5,重症肌无力
5,重性抑郁症
5,重叠性病变
5,酪氨酸血症
5,部良性肿瘤
5,部皮肤结构
5,部皮下组织
5,部恶性肿瘤
5,部分缓解期
5,部分切除术
5,部分切除伴
5,遗传性疾病
5,遗传性感觉
5,遗传性因子
5,造成的影响
5,造口闭合术
5,通过胎盘或
5,通过暴露于
5,连接酶缺乏
5,还原酶缺乏
5,运动神经元
5,运动或锻炼
5,过敏性鼻炎
5,过敏性哮喘
5,输血综合征
5,输卵管妊娠
5,输卵管卵巢
5,轻度撕裂伤
5,转移酶缺乏
5,躁狂性发作
5,蹼趾底神经
5,踝关节或足
5,踝关节和或
5,跗骨和跖骨
5,足分枝菌病
5,超声引导下
5,超声内镜下
5,调整或管理
5,诊断性操作
5,诊断性影像
5,角膜结膜炎
5,角型青光眼
5,视网膜静脉
5,视网膜血管
5,视网膜色素
5,视网膜脱离
5,视网膜病变
5,视网膜动脉
5,视网膜中央
5,视神经萎缩
5,装置去除术
5,裂解酶缺乏
5,裂伤缝合术
5,裂伤修补术
5,被动活动度
5,补片修补术
5,衣原体感染
5,血肿清除术
5,血红蛋白病
5,血管成形术
5,血管内超声
5,血栓静脉炎
5,血栓切除术
5,血小板减少
5,蜂窝组织炎
5,蛛网膜下隙
5,蛛网膜下腔
5,蛋白酶缺乏
5,虹膜睫状体
5,葡萄胎妊娠
5,葡萄糖耐量
5,葡萄糖磷酸
5,葡萄球菌性
5,营养不良性
5,获得性异常
5,药物引起的
5,芽孢杆菌属
5,艾滋病相关
5,色小孢子菌
5,良性型肿瘤
5,自身免疫性
5,膝关节镜下
5,腹腔镜子宫
5,腹腔镜卵巢
5,腹腔镜下胃
5,腹腔镜下肾
5,腹主动脉瘤
5,腰椎椎间盘
5,腕骨和掌骨
5,腕或手水平
5,腔内栓塞术
5,腔内成形术
5,脱氢酶缺乏
5,脓肿引流术
5,脑膜炎球菌
5,脑室内出血
5,脊髓灰质炎
5,脊髓前动脉
5,脊髓中央管
5,脊柱闭合性
5,脊柱后侧凸
5,脉冲发生器
5,脂蛋白血症
5,胸锁乳突肌
5,胸腔镜下肺
5,胸脊神经根
5,胸椎椎间隙
5,胸椎椎间盘
5,胸椎椎间孔
5,胸椎椎弓根
5,胸椎关节突
5,胸廓内动脉
5,胰腺内分泌
5,胰头部损伤
5,胰十二指肠
5,胰体部损伤
5,胫骨和腓骨
5,胎儿新生儿
5,背侧面皮肤
5,胆红素血症
5,胆红素结合
5,胆总管结石
5,胆固醇血症
5,胆囊管结石
5,胃肠道感染
5,胃十二指肠
5,肿瘤切除术
5,肿物切除术
5,肾小球肾炎
5,肾功能损害
5,肾上腺髓质
5,肾上腺皮质
5,肺静脉高压
5,肺静脉连接
5,肺静脉异常
5,肺炎链球菌
5,肺炎球菌性
5,肺炎克雷伯
5,肺动脉高压
5,肺动脉闭锁
5,肺动脉瓣膜
5,肩胛骨锁骨
5,肩关节脱位
5,肠系膜静脉
5,肠系膜动脉
5,肠沙门氏菌
5,肝脏撕裂伤
5,肛门生殖器
5,肛门括约肌
5,肌营养不良
5,肌肉或肌腱
5,肌肉恶性瘤
5,肌张力障碍
5,肋骨软骨部
5,肋骨软骨区
5,肋骨结节非
5,肋骨椎关节
5,肋骨和胸骨
5,肋间后静脉
5,肋肋结节非
5,耳聋综合征
5,耐甲氧西林
5,置入或置换
5,缺乏综合征
5,缺乏性疾病
5,缺乏引起的
5,缝合术Ⅰ期
5,维生素缺乏
5,继发性恶性
5,绦虫性感染
5,绦虫属感染
5,结合球蛋白
5,经尿道膀胱
5,经人工造口
5,细菌性感染
5,细菌引起的
5,细胞白血病
5,细胞淋巴瘤
5,细胞增多症
5,细胞块涂片
5,细支气管炎
5,组织胞浆菌
5,线虫性感染
5,线虫属感染
5,线头影测量
5,纤维软骨环
5,红细胞生成
5,红细胞增多
5,糖原贮积病
5,精神障碍伴
5,精神病特征
5,精神分裂症
5,粘连松解术
5,粉碎性骨折
5,类芽孢杆菌
5,筋膜或肌腱
5,第二前磨牙
5,第二乳磨牙
5,第一前磨牙
5,第一乳磨牙
5,立克次氏体
5,穿刺引流术
5,空肠吻合术
5,移植物感染
5,科所致疾病
5,神经节苷脂
5,神经节结构
5,神经胶质瘤
5,神经性厌食
5,神经刺激器
5,神经内分泌
5,磁共振检查
5,碳水化合物
5,碎石取石术
5,硬膜外间隙
5,硬膜下间隙
5,硬膜下出血
5,破裂修补术
5,直肠阴道隔
5,皮肤松弛症
5,皮瓣移植术
5,皮片移植术
5,的良性肿瘤
5,的特殊筛查
5,的故意自害
5,的恶性肿瘤
5,的其他手术
5,的免疫接种
5,的临床所见
5,的一氧化碳
5,瘘管切除术
5,病理性骨折
5,病毒致疾病
5,病毒性脑炎
5,病毒性肝炎
5,病毒性疾病
5,病毒性感染
5,病毒引起的
5,病毒导致的
5,病未特指的
5,病损破坏术
5,病损消融术
5,病损或组织
5,病损切除术
5,疾病相关的
5,疾病引起的
5,疱疹病毒型
5,畸形综合征
5,男性生殖器
5,甲状腺激素
5,甲状腺毒症
5,甲状腺功能
5,甲基苯丙胺
5,用做移植物
5,用作移植物
5,生物学行为
5,瓣膜置换术
5,球蛋白血症
5,球形红细胞
5,球孢子菌病
5,球囊扩张术
5,特沙门氏菌
5,物质引起的
5,炎症性疾病
5,激酶缺乏症
5,滑膜切除术
5,溶血性贫血
5,游离移植术
5,深静脉血栓
5,淋球菌感染
5,淋巴结结构
5,淋巴细胞性
5,淋巴管结构
5,淀粉样变性
5,浆膜下组织
5,浅表性损伤
5,流行性感冒
5,流出道梗阻
5,流产失败伴
5,活组织检查
5,注射或输注
5,泌尿道感染
5,泌尿生殖道
5,治疗的胎儿
5,沙门氏菌属
5,沙门氏菌Ⅱ
5,沙门氏杆菌
5,沙门杆菌属
5,沙门杆菌Ⅱ
5,沙眼衣原体
5,沙氏杆菌属
5,沙氏杆菌Ⅱ
5,水解酶缺乏
5,水疱伴感染
5,氧化酶缺乏
5,气管支气管
5,氏艾美球虫
5,氏杆菌感染
5,氏假单胞菌
5,毛细管扩张
5,毒理学检查
5,死骨去除术
5,死骨切除术
5,次全切除术
5,横纹肌肉瘤
5,横突间韧带
5,楔形切除术
5,椎间盘髓核
5,椎体间连结
5,椎体间关节
5,棘突间韧带
5,梗阻性分娩
5,桡骨和尺骨
5,桡侧指神经
5,桡侧副韧带
5,栓子去除术
5,染色体异常
5,某些特指的
5,杓状会厌襞
5,机械并发症
5,未知的肿瘤
5,未特指部位
5,有害性使用
5,有关的问题
5,曲霉菌感染
5,普雷沃氏菌
5,显微镜检查
5,星形细胞瘤
5,昆虫痘病毒
5,无脊髓损伤
5,无乳链球菌
5,旁路移植术
5,新生儿黄疸
5,新生儿皮肤
5,斯沙门氏菌
5,整个视网膜
5,整个肾上腺
5,整个第颈椎
5,整个第四趾
5,整个第四指
5,整个第十二
5,整个第十一
5,整个第五趾
5,整个第五指
5,整个第二趾
5,整个第二指
5,整个第三趾
5,整个第三指
5,整个第一指
5,整个甲状腺
5,整个无名指
5,整个子宫颈
5,整个前列腺
5,整个二尖瓣
5,整个主动脉
5,整个下丘脑
5,放射性粒子
5,支气管肺炎
5,支气管扩张
5,支架置入术
5,支架植入术
5,支架取出术
5,支撑喉镜下
5,擦伤已感染
5,擦伤伴感染
5,接触性皮炎
5,损伤或伤害
5,持续性哮喘
5,拟无枝酸菌
5,报废或损毁
5,手法整复术
5,所致的胎儿
5,所致新生儿
5,房间隔缺损
5,房室隔缺损
5,或未特指的
5,成骨不全症
5,戊二酸尿症
5,慢性骨髓炎
5,慢性胆囊炎
5,慢性硬化性
5,慢性痛风石
5,慢性外耳炎
5,感音神经性
5,感染性疾病
5,感染性休克
5,感染引起的
5,感染导致的
5,意外暴露于
5,恶性淋巴瘤
5,恶性原发性
5,息肉切除术
5,性骨软骨炎
5,性骨质疏松
5,性支气管炎
5,性恶性肿瘤
5,性心律失常
5,性心动过速
5,性心力衰竭
5,性心内膜炎
5,急性骨髓炎
5,急性胰腺炎
5,急性胆囊炎
5,急性肝坏死
5,急性感染性
5,急性会厌炎
5,念珠菌感染
5,心血管系统
5,心血管疾病
5,心脏起搏器
5,心脏复律器
5,心脏再同步
5,心室双入口
5,心功能不全
5,归类在他处
5,引起的肺炎
5,引起的疾病
5,引起的感染
5,引发的感染
5,异物取出术
5,异物去除术
5,异构酶缺乏
5,异常起源于
5,异常综合征
5,开放骨折伴
5,开放性骨折
5,开放性脱位
5,开放性脊柱
5,开放性损伤
5,开放性外伤
5,开放性创口
5,开放性创伤
5,开放性分裂
5,开放性伤口
5,开放式分裂
5,应力性骨折
5,幽门螺杆菌
5,幼虫移行症
5,带状疱疹性
5,左颈总动脉
5,左冠状动脉
5,左侧输卵管
5,左主动脉弓
5,左上腔静脉
5,局部切除术
5,尿道成形术
5,尾侧关节突
5,尺侧指神经
5,尺侧副韧带
5,尔沙门氏菌
5,小腿水平的
5,小肠结肠炎
5,小细胞肺癌
5,小孢子菌性
5,小于胎龄儿
5,射频消融术
5,导致的疾病
5,导致的感染
5,寄生虫检查
5,寄生虫感染
5,宫内避孕器
5,宫内节育器
5,室间隔缺损
5,完全缓解期
5,孢子虫感染
5,孢子丝菌病
5,孕产妇医疗
5,子宫输卵管
5,子宫切除术
5,女性生殖道
5,女性生殖器
5,奈瑟氏球菌
